audio1,audio2,audio3,audio4,presentation,different,consonant
vaperiodicvlong.wav,vaperiodicvshort.wav,vaperiodicvshort.wav,vaperiodicvshort.wav,LSSS,first,glotstop
vaperiodicvlong.wav,vaperiodicvlong.wav,vaperiodicvshort.wav,vaperiodicvlong.wav,LLSL,second,glotstop
vaperiodicvlong.wav,vaperiodicvlong.wav,vaperiodicvlong.wav,vaperiodicvshort.wav,LLLS,second,glotstop
vaperiodicvshort.wav,vaperiodicvlong.wav,vaperiodicvlong.wav,vaperiodicvlong.wav,SLLL,first,glotstop
vaperiodicvlong.wav,vaperiodicvshort.wav,vaperiodicvlong.wav,vaperiodicvlong.wav,LSLL,first,glotstop
vhvshort.wav,vhvshort.wav,vhvshort.wav,vhvlong.wav,SSSL,second,h
vhvshort.wav,vhvshort.wav,vhvlong.wav,vhvshort.wav,SSLS,second,h
vhvshort.wav,vhvlong.wav,vhvshort.wav,vhvshort.wav,SLSS,first,h
vhvlong.wav,vhvshort.wav,vhvshort.wav,vhvshort.wav,LSSS,first,h
vhvlong.wav,vhvlong.wav,vhvshort.wav,vhvlong.wav,LLSL,second,h
vhvlong.wav,vhvlong.wav,vhvlong.wav,vhvshort.wav,LLLS,second,h
vhvshort.wav,vhvlong.wav,vhvlong.wav,vhvlong.wav,SLLL,first,h
vhvlong.wav,vhvshort.wav,vhvlong.wav,vhvlong.wav,LSLL,first,h
vsilencevshort.wav,vsilencevshort.wav,vsilencevshort.wav,vsilencevlong.wav,SSSL,second,stop
vsilencevshort.wav,vsilencevshort.wav,vsilencevlong.wav,vsilencevshort.wav,SSLS,second,stop
vsilencevshort.wav,vsilencevlong.wav,vsilencevshort.wav,vsilencevshort.wav,SLSS,first,stop
vsilencevlong.wav,vsilencevshort.wav,vsilencevshort.wav,vsilencevshort.wav,LSSS,first,stop
vsilencevlong.wav,vsilencevlong.wav,vsilencevshort.wav,vsilencevlong.wav,LLSL,second,stop
vsilencevlong.wav,vsilencevlong.wav,vsilencevlong.wav,vsilencevshort.wav,LLLS,second,stop
vsilencevshort.wav,vsilencevlong.wav,vsilencevlong.wav,vsilencevlong.wav,SLLL,first,stop
vsilencevlong.wav,vsilencevshort.wav,vsilencevlong.wav,vsilencevlong.wav,LSLL,first,stop
vfricativevshort.wav,vfricativevshort.wav,vfricativevshort.wav,vfricativevlong.wav,SSSL,second,fricative
vfricativevshort.wav,vfricativevshort.wav,vfricativevlong.wav,vfricativevshort.wav,SSLS,second,fricative
vfricativevshort.wav,vfricativevlong.wav,vfricativevshort.wav,vfricativevshort.wav,SLSS,first,fricative
vfricativevlong.wav,vfricativevshort.wav,vfricativevshort.wav,vfricativevshort.wav,LSSS,first,fricative
vfricativevlong.wav,vfricativevlong.wav,vfricativevshort.wav,vfricativevlong.wav,LLSL,second,fricative
vfricativevlong.wav,vfricativevlong.wav,vfricativevlong.wav,vfricativevshort.wav,LLLS,second,fricative
vfricativevshort.wav,vfricativevlong.wav,vfricativevlong.wav,vfricativevlong.wav,SLLL,first,fricative
vfricativevlong.wav,vfricativevshort.wav,vfricativevlong.wav,vfricativevlong.wav,LSLL,first,fricative
vglidevshort.wav,vglidevshort.wav,vglidevshort.wav,vglidevlong.wav,SSSL,second,glide
vglidevshort.wav,vglidevshort.wav,vglidevlong.wav,vglidevshort.wav,SSLS,second,glide
vglidevshort.wav,vglidevlong.wav,vglidevshort.wav,vglidevshort.wav,SLSS,first,glide
vglidevlong.wav,vglidevshort.wav,vglidevshort.wav,vglidevshort.wav,LSSS,first,glide
vglidevlong.wav,vglidevlong.wav,vglidevshort.wav,vglidevlong.wav,LLSL,second,glide
vglidevlong.wav,vglidevlong.wav,vglidevlong.wav,vglidevshort.wav,LLLS,second,glide
vglidevshort.wav,vglidevlong.wav,vglidevlong.wav,vglidevlong.wav,SLLL,first,glide
vglidevlong.wav,vglidevshort.wav,vglidevlong.wav,vglidevlong.wav,LSLL,first,glide
vaperiodicvshort.wav,vaperiodicvshort.wav,vaperiodicvshort.wav,vaperiodicvlong.wav,SSSL,second,glotstop
vaperiodicvshort.wav,vaperiodicvshort.wav,vaperiodicvlong.wav,vaperiodicvshort.wav,SSLS,second,glotstop
vaperiodicvshort.wav,vaperiodicvlong.wav,vaperiodicvshort.wav,vaperiodicvshort.wav,SLSS,first,glotstop
vaperiodicvlong.wav,vaperiodicvshort.wav,vaperiodicvshort.wav,vaperiodicvshort.wav,LSSS,first,glotstop
vaperiodicvlong.wav,vaperiodicvlong.wav,vaperiodicvshort.wav,vaperiodicvlong.wav,LLSL,second,glotstop
vaperiodicvlong.wav,vaperiodicvlong.wav,vaperiodicvlong.wav,vaperiodicvshort.wav,LLLS,second,glotstop
vaperiodicvshort.wav,vaperiodicvlong.wav,vaperiodicvlong.wav,vaperiodicvlong.wav,SLLL,first,glotstop
vaperiodicvlong.wav,vaperiodicvshort.wav,vaperiodicvlong.wav,vaperiodicvlong.wav,LSLL,first,glotstop
vhvshort.wav,vhvshort.wav,vhvshort.wav,vhvlong.wav,SSSL,second,h
vhvshort.wav,vhvshort.wav,vhvlong.wav,vhvshort.wav,SSLS,second,h
vhvshort.wav,vhvlong.wav,vhvshort.wav,vhvshort.wav,SLSS,first,h
vhvlong.wav,vhvshort.wav,vhvshort.wav,vhvshort.wav,LSSS,first,h
vhvlong.wav,vhvlong.wav,vhvshort.wav,vhvlong.wav,LLSL,second,h
vhvlong.wav,vhvlong.wav,vhvlong.wav,vhvshort.wav,LLLS,second,h
vhvshort.wav,vhvlong.wav,vhvlong.wav,vhvlong.wav,SLLL,first,h
vhvlong.wav,vhvshort.wav,vhvlong.wav,vhvlong.wav,LSLL,first,h
